time_s,x,y,z,yaw,pitch,roll
20250807_155502,-0.0003981218615081161,1.072329044342041,0.9981024265289307,-0.1624515950679779,0.7845547199249268,-0.37884312868118286
20250807_155502,-0.0003592588473111391,1.0724290609359741,0.9980824589729309,-0.1400853991508484,0.8109455704689026,-0.4078589379787445
20250807_155502,-0.0002843979746103287,1.0725007057189941,0.9980789422988892,-0.132842555642128,0.8286397457122803,-0.4462033212184906
20250807_155502,-0.00029157177777960896,1.072464108467102,0.9981027841567993,-0.13104507327079773,0.8056795597076416,-0.4397747218608856
20250807_155502,-0.0003445304464548826,1.072422981262207,0.998105525970459,-0.13128548860549927,0.8039771318435669,-0.4457089900970459
20250807_155502,-0.0003621948999352753,1.0723280906677246,0.9980975985527039,-0.15926015377044678,0.7868020534515381,-0.3799743056297302
20250807_155502,-0.0003821080317720771,1.0724272727966309,0.9981059432029724,-0.14256004989147186,0.80158531665802,-0.45496296882629395
20250807_155502,-0.0003176783793605864,1.0723949670791626,0.9981045722961426,-0.1277562826871872,0.7952249050140381,-0.4361497759819031
20250807_155502,-0.00035177444806322455,1.0724284648895264,0.9981006383895874,-0.14129094779491425,0.8034692406654358,-0.41228142380714417
20250807_155502,-0.00035061570815742016,1.072403073310852,0.9980925917625427,-0.14924710988998413,0.7837464809417725,-0.37266722321510315
20250807_155502,-0.00032549159368500113,1.0724486112594604,0.9980890154838562,-0.1364438235759735,0.8521288633346558,-0.4327303469181061
20250807_155502,-0.00034730788320302963,1.072493314743042,0.9981023073196411,-0.1497231274843216,0.8327642679214478,-0.42677435278892517
20250807_155502,-0.0003457543789409101,1.072337031364441,0.9980971217155457,-0.14096277952194214,0.7785399556159973,-0.4073716998100281
20250807_155502,-0.0003430448123253882,1.0724056959152222,0.9980953931808472,-0.14772088825702667,0.813504695892334,-0.4154047667980194
20250807_155502,-0.0003238115459680557,1.0724172592163086,0.9980854988098145,-0.14178411662578583,0.7785691022872925,-0.3902606666088104
20250807_155502,-0.0003247701970394701,1.0724245309829712,0.9980971813201904,-0.14673566818237305,0.7919637560844421,-0.4181523025035858
20250807_155502,-0.00037385220639407635,1.0723727941513062,0.9981013536453247,-0.14740942418575287,0.7845588326454163,-0.4285300076007843
20250807_155502,-0.0003782869898714125,1.0724316835403442,0.9981062412261963,-0.14425842463970184,0.8019037842750549,-0.45124006271362305
20250807_155502,-0.000328335037920624,1.0724211931228638,0.9981015920639038,-0.132956400513649,0.8119403719902039,-0.41971686482429504
20250807_155502,-0.0003082011826336384,1.0724889039993286,0.9980994462966919,-0.13884273171424866,0.8080520629882812,-0.4318719208240509
20250807_155502,-0.00025272570201195776,1.0724302530288696,0.998103678226471,-0.13442295789718628,0.811016857624054,-0.38162627816200256
20250807_155502,-0.0003445333568379283,1.0723907947540283,0.9980990290641785,-0.14001356065273285,0.7892675995826721,-0.4061807692050934
20250807_155502,-0.00041172048076987267,1.0723458528518677,0.9980973601341248,-0.1366579532623291,0.8350901007652283,-0.3745550513267517
20250807_155502,-0.00039560048026032746,1.0723413228988647,0.9981006383895874,-0.1508190780878067,0.788320779800415,-0.39977332949638367
20250807_155502,-0.00038951600436121225,1.0723731517791748,0.9981082677841187,-0.1380128115415573,0.7887760400772095,-0.46492719650268555
20250807_155502,-0.0003030518419109285,1.072446346282959,0.9980965256690979,-0.13955074548721313,0.8506947159767151,-0.4398246705532074
20250807_155502,-0.000248226395342499,1.072542667388916,0.998092532157898,-0.13173048198223114,0.8078104257583618,-0.4233147203922272
20250807_155502,-0.0002700070617720485,1.0725204944610596,0.9980878829956055,-0.14006976783275604,0.8249431252479553,-0.40358778834342957
20250807_155502,-0.00034705307916738093,1.0723927021026611,0.9981085658073425,-0.13698865473270416,0.7994287610054016,-0.3886924088001251
20250807_155502,-0.00042244046926498413,1.0722711086273193,0.9981160759925842,-0.14713917672634125,0.8073843121528625,-0.3566027879714966
20250807_155502,-0.00041781237814575434,1.072330117225647,0.9980932474136353,-0.1500971019268036,0.7723206281661987,-0.39982786774635315
20250807_155502,-0.00033548823557794094,1.072469711303711,0.9980981349945068,-0.1419031172990799,0.8384854197502136,-0.42396998405456543
20250807_155502,-0.0002836165367625654,1.0724895000457764,0.998099684715271,-0.13357220590114594,0.8229852914810181,-0.4678240418434143
20250807_155502,-0.0002824552357196808,1.0724979639053345,0.9980875253677368,-0.13341185450553894,0.8169753551483154,-0.4148183763027191
20250807_155502,-0.0002944984589703381,1.0724165439605713,0.9980970025062561,-0.15040451288223267,0.8231576085090637,-0.413848876953125
20250807_155502,-0.00034323392901569605,1.0724172592163086,0.998116135597229,-0.14358985424041748,0.7847722768783569,-0.3801126778125763
20250807_155502,-0.00038666054024361074,1.072285771369934,0.9981296062469482,-0.1365060955286026,0.7960497736930847,-0.3745967149734497
20250807_155502,-0.0004076845943927765,1.0723756551742554,0.9980978965759277,-0.15478169918060303,0.8076316714286804,-0.4289986789226532
20250807_155502,-0.00036233861465007067,1.072461485862732,0.9980918765068054,-0.14024585485458374,0.8472427129745483,-0.4868365228176117
20250807_155502,-0.0003058176953345537,1.0724613666534424,0.9980946779251099,-0.1329033076763153,0.8069555759429932,-0.40528517961502075
20250807_155502,-0.0002786830300465226,1.0724701881408691,0.9981070160865784,-0.13089323043823242,0.8038290739059448,-0.4285491704940796
20250807_155502,-0.0003086797660216689,1.0724390745162964,0.9980868101119995,-0.1407114714384079,0.8059571385383606,-0.4108023941516876
20250807_155502,-0.00036235968582332134,1.0723809003829956,0.9980916976928711,-0.15169046819210052,0.8062055706977844,-0.4111003577709198
20250807_155502,-0.0004009324766229838,1.0723260641098022,0.9981093406677246,-0.14807483553886414,0.7772228121757507,-0.3677273392677307
20250807_155502,-0.00039060995914041996,1.0723398923873901,0.9981141686439514,-0.13912492990493774,0.838483452796936,-0.37718284130096436
20250807_155502,-0.00035145075526088476,1.0724071264266968,0.9981193542480469,-0.13920406997203827,0.7999913692474365,-0.4299023151397705
20250807_155502,-0.00030084160971455276,1.0724709033966064,0.9980843663215637,-0.15023474395275116,0.8192532062530518,-0.41368919610977173
20250807_155502,-0.0002507771132513881,1.0726228952407837,0.9980722069740295,-0.12048561125993729,0.8429372906684875,-0.4975546896457672
20250807_155502,-0.0002697563322726637,1.0725033283233643,0.9980847239494324,-0.1470281332731247,0.8157116770744324,-0.3821205496788025
20250807_155502,-0.0003677967470139265,1.0722906589508057,0.9981183409690857,-0.14493048191070557,0.7917097806930542,-0.38462552428245544
20250807_155502,-0.00045347315608523786,1.0722556114196777,0.9981237649917603,-0.14864006638526917,0.8083073496818542,-0.3762698769569397
20250807_155502,-0.0003978150780312717,1.072359323501587,0.9981110692024231,-0.14245320856571198,0.8235695958137512,-0.39869681000709534
20250807_155502,-0.00033233765861950815,1.072478175163269,0.9980911016464233,-0.14065255224704742,0.8097184896469116,-0.4244922697544098
20250807_155502,-0.0002722412464208901,1.0724880695343018,0.9980811476707458,-0.13476406037807465,0.8305912613868713,-0.4617834985256195
20250807_155502,-0.000254168757237494,1.0725370645523071,0.9980859160423279,-0.12960904836654663,0.8260288834571838,-0.46091851592063904
20250807_155502,-0.0003054519183933735,1.072486400604248,0.9980892539024353,-0.1396944224834442,0.8285310864448547,-0.4490726888179779
20250807_155502,-0.0003544099163264036,1.0723381042480469,0.9981178045272827,-0.1369938850402832,0.7845408320426941,-0.4154488742351532
20250807_155502,-0.000426248530857265,1.072258472442627,0.9981225728988647,-0.15144963562488556,0.8140231370925903,-0.3248063623905182
