time_s,x,y,z,x_error,y_error,z_error,yaw,pitch,roll,roll_command,pitch_command,yaw_command,thrust_command,pitch_cmd_p,pitch_cmd_i,pitch_cmd_d,roll_cmd_p,roll_cmd_i,roll_cmd_d,thrust_cmd_p,thrust_cmd_i,thrust_cmd_d
20250903_114327.486308,2.0132298469543457,0.09197963029146194,2.954702138900757,-0.013229846954345703,0.9080203771591187,0.045297861099243164,-1.550532341003418,-178.19679260253906,179.04298400878906,0.3876330852508545,-0.04087631404399872,-0.05695105344057083,56000,-0.05435743182897568,-0.007347129285335541,0.0208282470703125,-0.009922385215759277,-0.0026780450716614723,-0.044350624084472656,27240.611328125,294.2496032714844,-93.73426818847656
20250903_114327.496366,2.0133330821990967,0.0918012335896492,2.954704999923706,-0.01333308219909668,0.9081987738609314,0.045295000076293945,-1.46108877658844,-178.12451171875,178.71279907226562,0.36527219414711,-0.061138447374105453,-0.04939277470111847,56000,-0.054354000836610794,-0.007528315298259258,0.000743865966796875,-0.00999981164932251,-0.002744452329352498,-0.03664851188659668,27245.962890625,301.51446533203125,214.0760498046875
20250903_114327.506346,2.013356924057007,0.0918007642030716,2.954578399658203,-0.013356924057006836,0.9081992506980896,0.045421600341796875,-1.3060053586959839,-178.627197265625,179.0369415283203,0.32650133967399597,-0.09513173997402191,-0.021292729303240776,56000,-0.05450592190027237,-0.007709748111665249,-0.03291606903076172,-0.010017693042755127,-0.0028111774008721113,-0.008463859558105469,27245.9765625,308.7800598144531,0.5632638931274414
20250903_114327.516214,2.0134057998657227,0.09195325523614883,2.9545135498046875,-0.013405799865722656,0.9080467224121094,0.0454864501953125,-1.2395603656768799,-178.62789916992188,179.05389404296875,0.30989009141921997,-0.0793362632393837,-0.03028334677219391,56000,-0.05458373948931694,-0.007891564629971981,-0.0168609619140625,-0.010054349899291992,-0.0028780840802937746,-0.01735091209411621,27241.40234375,316.0450439453125,-182.98924255371094
20250903_114327.527521,2.0133216381073,0.09199158102273941,2.954446315765381,-0.013321638107299805,0.9080083966255188,0.04555368423461914,-1.0810198783874512,-178.40963745117188,179.02427673339844,0.2702549695968628,-0.08021891862154007,0.016941292211413383,56000,-0.05466442182660103,-0.00807364471256733,-0.017480850219726562,-0.009991228580474854,-0.0029449027497321367,0.029877424240112305,27240.251953125,323.30926513671875,-45.990943908691406
20250903_114327.536477,2.013468027114868,0.09196047484874725,2.9543697834014893,-0.013468027114868164,0.9080395102500916,0.04563021659851074,-0.9887076616287231,-177.96530151367188,178.6500244140625,0.2471769154071808,-0.0829106867313385,-0.06508099287748337,56000,-0.05475626140832901,-0.008256012573838234,-0.019898414611816406,-0.010101020336151123,-0.0030118769500404596,-0.05196809768676758,27241.185546875,330.5734558105469,37.32740783691406
20250903_114327.546606,2.0138487815856934,0.09223043918609619,2.954348564147949,-0.01384878158569336,0.9077695608139038,0.04565143585205078,-0.8469094038009644,-177.83351135253906,178.45376586914062,0.2117273509502411,-0.06873730570077896,-0.14863459765911102,56000,-0.054781723767519,-0.008438576012849808,-0.005517005920410156,-0.01038658618927002,-0.0030801689717918634,-0.13516783714294434,27233.0859375,337.8367004394531,-323.95721435546875
20250903_114327.556779,2.0141468048095703,0.09240295737981796,2.9543135166168213,-0.014146804809570312,0.9075970649719238,0.04568648338317871,-0.6706351637840271,-177.92974853515625,178.1025848388672,0.16765879094600677,-0.07255738973617554,-0.11955850571393967,56000,-0.054823778569698334,-0.008621251210570335,-0.009112358093261719,-0.010610103607177734,-0.0031501578632742167,-0.10579824447631836,27227.912109375,345.0981750488281,-207.02183532714844
20250903_114327.566494,2.0144526958465576,0.09284984320402145,2.954310178756714,-0.014452695846557617,0.907150149345398,0.04568982124328613,-0.5527967810630798,-177.99339294433594,177.25540161132812,0.13819919526576996,-0.064499631524086,-0.12265249341726303,56000,-0.05482778698205948,-0.00880400463938713,-0.0008678436279296875,-0.010839521884918213,-0.003221656661480665,-0.10859131813049316,27214.50390625,352.3571472167969,-536.2630004882812
20250903_114327.576360,2.0147392749786377,0.09327389299869537,2.9542324542999268,-0.014739274978637695,0.9067261219024658,0.04576754570007324,-0.33721500635147095,-178.0178985595703,177.11607360839844,0.08430375158786774,-0.08411633223295212,-0.11608468741178513,56000,-0.05492105334997177,-0.008986919187009335,-0.020208358764648438,-0.011054456233978271,-0.003294636495411396,-0.10173559188842773,27201.783203125,359.6126403808594,-508.8597412109375
20250903_114327.586631,2.0151126384735107,0.09400592744350433,2.954150676727295,-0.015112638473510742,0.9059940576553345,0.04584932327270508,-0.26414644718170166,-178.1834716796875,177.1571807861328,0.06603661179542542,-0.08545150607824326,-0.1472477912902832,56000,-0.05501918867230415,-0.009170152246952057,-0.021262168884277344,-0.011334478855133057,-0.003369266400113702,-0.13254404067993164,27179.822265625,366.863525390625,-878.4413452148438
20250903_114327.596270,2.0150744915008545,0.09504047781229019,2.9540045261383057,-0.015074491500854492,0.904959499835968,0.045995473861694336,-0.2979532778263092,-178.01422119140625,177.58253479003906,0.0744883194565773,-0.10254756361246109,-0.001208427594974637,56000,-0.05519456788897514,-0.009353842586278915,-0.03799915313720703,-0.01130586862564087,-0.003444734262302518,0.01354217529296875,27148.78515625,374.10736083984375,-1241.46044921875
20250903_114327.606584,2.015316963195801,0.09590353816747665,2.9540903568267822,-0.015316963195800781,0.9040964841842651,0.04590964317321777,-0.1561063826084137,-177.90274047851562,177.5962677001953,0.039026595652103424,-0.04231324419379234,-0.10108588635921478,56000,-0.05509157106280327,-0.009537652134895325,0.02231597900390625,-0.011487722396850586,-0.0035207129549235106,-0.08607745170593262,27122.89453125,381.34356689453125,-1035.6724853515625
20250903_114327.616534,2.015486478805542,0.0973975732922554,2.954228162765503,-0.015486478805541992,0.9026024341583252,0.04577183723449707,-0.16173648834228516,-177.75003051757812,177.33572387695312,0.04043412208557129,-0.02881767600774765,-0.07539062201976776,56000,-0.054926205426454544,-0.009721015579998493,0.03582954406738281,-0.011614859104156494,-0.0035977214574813843,-0.06017804145812988,27078.072265625,388.57037353515625,-1792.8421630859375
20250903_114327.626894,2.0158531665802,0.09887555241584778,2.954206705093384,-0.015853166580200195,0.9011244773864746,0.04579329490661621,0.05125737190246582,-177.98170471191406,177.4658660888672,-0.012814342975616455,-0.07043509185314178,-0.1457401067018509,56000,-0.05495195463299751,-0.009904145263135433,-0.0055789947509765625,-0.011889874935150146,-0.003676070598885417,-0.1301741600036621,27033.734375,395.7852783203125,-1773.574951171875
20250903_114327.636970,2.0161139965057373,0.10101977735757828,2.9540600776672363,-0.016113996505737305,0.8989802002906799,0.04593992233276367,0.09390349686145782,-178.5905303955078,177.66909790039062,-0.023475874215364456,-0.10333865135908127,-0.10843610763549805,56000,-0.055127907544374466,-0.010087612085044384,-0.038123130798339844,-0.012085497379302979,-0.0037559885531663895,-0.09259462356567383,26969.40625,402.9856872558594,-2573.06982421875
20250903_114327.646886,2.0159287452697754,0.10357342660427094,2.953701972961426,-0.01592874526977539,0.8964265584945679,0.04629802703857422,-0.08298014104366302,-178.8385467529297,178.7001495361328,0.020745035260915756,-0.15893694758415222,0.049981534481048584,56000,-0.05555763095617294,-0.010272088460624218,-0.09310722351074219,-0.011946558952331543,-0.0038360953330993652,0.06576418876647949,26892.796875,410.1673278808594,-3064.379150390625
20250903_114327.656803,2.0163495540618896,0.10569731891155243,2.953679323196411,-0.01634955406188965,0.8943026661872864,0.04632067680358887,0.1354176253080368,-178.76773071289062,178.25527954101562,-0.0338544063270092,-0.07193107903003693,-0.1655660718679428,56000,-0.05558481067419052,-0.010457325726747513,-0.005888938903808594,-0.012262165546417236,-0.003916791174560785,-0.14938712120056152,26829.080078125,417.3302307128906,-2548.670654296875
20250903_114327.666308,2.0164685249328613,0.10859733819961548,2.9535346031188965,-0.016468524932861328,0.8914026618003845,0.046465396881103516,0.14765657484531403,-178.79452514648438,179.24276733398438,-0.036914143711328506,-0.1040285974740982,-0.05858488753437996,56000,-0.05575847625732422,-0.010642897337675095,-0.037627220153808594,-0.012351393699645996,-0.003998836502432823,-0.04223465919494629,26742.080078125,424.4730529785156,-3480.023193359375
20250903_114327.675668,2.016407012939453,0.11153357475996017,2.9533565044403076,-0.016407012939453125,0.8884664177894592,0.04664349555969238,0.0742136761546135,-178.94149780273438,179.65274047851562,-0.018553419038653374,-0.11310696601867676,0.005450472701340914,56000,-0.05597219616174698,-0.01082911528646946,-0.04630565643310547,-0.012305259704589844,-0.004081025253981352,0.02183675765991211,26653.9921875,431.592529296875,-3523.48388671875
