time_s,roll_command,pitch_command,yaw_command,thrust_command
20250829_145233,-0.294243186712265,-0.8626685738563538,1.0617502927780151,43506
20250829_145233,-0.20998439192771912,-0.5635122060775757,1.091042399406433,44731
20250829_145233,-0.2407960742712021,-0.7634595036506653,1.0726680755615234,44020
20250829_145233,-0.2967849373817444,-0.7515264749526978,1.072862982749939,43825
20250829_145233,-0.44875994324684143,-1.8352609872817993,1.095164179801941,42000
20250829_145233,-0.37478315830230713,-0.9266551733016968,1.0780689716339111,43363
20250829_145233,-0.23382028937339783,-0.7474917769432068,1.083098292350769,44102
20250829_145233,-0.2269248366355896,-0.581267774105072,1.0691946744918823,44719
20250829_145233,-0.48191332817077637,-2.0217227935791016,1.0754495859146118,42000
20250829_145233,-0.24017851054668427,-0.6216095089912415,1.0642064809799194,44617
20250829_145233,-0.2872762680053711,-0.7668976187705994,1.0633573532104492,44122
20250829_145233,-1.1882190704345703,-3.757134437561035,1.0551358461380005,42000
20250829_145233,-0.25403982400894165,-0.602957010269165,1.0431849956512451,44669
20250829_145233,-0.3188183903694153,-0.7808632254600525,1.0209498405456543,44159
20250829_145233,-0.5311323404312134,-2.0765106678009033,1.0390655994415283,42000
20250829_145233,-0.2640174329280853,-0.6192363500595093,1.0419608354568481,44680
20250829_145233,-0.2826242446899414,-0.7799674272537231,1.0558942556381226,44347
20250829_145233,-0.32833331823349,-0.7965603470802307,1.0292772054672241,44173
20250829_145233,-0.2929232716560364,-0.7857086062431335,1.0515536069869995,44259
20250829_145233,-0.3397109806537628,-0.7752180695533752,1.0485756397247314,44418
20250829_145233,-1.1000962257385254,-2.4604032039642334,1.0278258323669434,42000
20250829_145233,-0.24797934293746948,-0.6323625445365906,1.0336841344833374,44783
20250829_145233,-0.6375455260276794,-1.8595901727676392,1.026293396949768,43100
20250829_145233,-0.27051863074302673,-0.6452435851097107,1.0330536365509033,44751
20250829_145233,-0.6718232035636902,-1.568244218826294,1.0335134267807007,43553
20250829_145233,-0.2953490614891052,-0.659788191318512,1.0184237957000732,44741
20250829_145233,-0.9821831583976746,-2.3049874305725098,1.0112451314926147,42758
20250829_145233,-0.28747695684432983,-0.6513551473617554,0.999458372592926,44852
20250829_145233,-1.0598185062408447,-2.188889741897583,1.0016186237335205,43269
20250829_145233,-0.29121288657188416,-0.6452117562294006,1.0195966958999634,44968
20250829_145233,-0.7911835312843323,-2.3081469535827637,1.0316287279129028,43723
20250829_145233,-0.31012287735939026,-0.6454818248748779,1.0380661487579346,44880
20250829_145233,-0.3695172965526581,-0.8282877802848816,1.0308973789215088,44717
20250829_145233,-1.249770998954773,-2.0657708644866943,1.0195634365081787,44341
20250829_145233,-0.2892056405544281,-0.6491170525550842,1.0120503902435303,44997
20250829_145233,-0.33870944380760193,-0.7999770641326904,1.0230765342712402,44963
20250829_145233,-0.307590514421463,-0.7771602869033813,1.0404181480407715,45141
20250829_145233,-0.36551764607429504,-0.7998194098472595,1.0332062244415283,45034
20250829_145233,-0.38048869371414185,-0.8024842143058777,1.0387194156646729,45031
20250829_145233,-0.3878253102302551,-0.8014030456542969,1.0385987758636475,45025
20250829_145233,-1.0492676496505737,-2.09684419631958,1.0368995666503906,46372
20250829_145233,-0.31917598843574524,-0.6660131216049194,1.0184940099716187,45095
20250829_145233,-0.38494986295700073,-0.8333790898323059,1.0282081365585327,45293
20250829_145233,-0.3483961820602417,-0.8028140664100647,1.02119779586792,45222
20250829_145233,-0.8472746014595032,-1.5932897329330444,1.0254813432693481,45574
20250829_145233,-0.34363341331481934,-0.6827948093414307,1.0165032148361206,45122
20250829_145233,-0.42172229290008545,-0.7782726883888245,1.0583752393722534,45362
20250829_145233,-0.36535900831222534,-0.7865695357322693,1.0510457754135132,45269
20250829_145233,-0.3670007288455963,-0.8110306859016418,1.035029649734497,45481
20250829_145233,-0.3711799383163452,-0.8354532122612,1.038948893547058,45125
20250829_145233,-0.4078141450881958,-0.8026363253593445,1.0561230182647705,45173
20250829_145233,-0.41792550683021545,-0.8137094974517822,1.0531352758407593,45201
20250829_145233,-0.41264864802360535,-0.8115086555480957,1.0500521659851074,45263
20250829_145233,-0.38647761940956116,-0.7787546515464783,1.0462841987609863,45212
20250829_145234,-0.8455421328544617,-1.5558191537857056,1.0440049171447754,46330
20250829_145234,-0.31997424364089966,-0.692814290523529,1.041717767715454,45152
20250829_145234,-0.40853238105773926,-0.8094913959503174,1.0337013006210327,45412
20250829_145234,-0.4043726921081543,-0.8160547614097595,1.030212640762329,45204
20250829_145234,-0.4336053729057312,-0.8090460896492004,1.0303794145584106,45156
20250829_145234,-0.4441785216331482,-0.8279014825820923,1.027389407157898,45164
20250829_145234,-0.39117690920829773,-0.7878174781799316,1.0260788202285767,45199
20250829_145234,-0.3924824297428131,-0.8449820876121521,1.0298863649368286,45356
20250829_145234,-0.4434318542480469,-0.8087897300720215,1.0497188568115234,45371
20250829_145234,-0.42353618144989014,-0.8105407357215881,1.0319215059280396,45222
20250829_145234,-0.4698997735977173,-0.8694512844085693,1.0302231311798096,44870
20250829_145234,-0.43494245409965515,-0.8144000768661499,1.0310744047164917,45103
20250829_145234,-0.4551038444042206,-0.8236181139945984,1.0420502424240112,45030
20250829_145234,-0.4518051743507385,-0.8135035037994385,1.0375908613204956,45327
20250829_145234,-0.38579487800598145,-0.849531352519989,1.0083153247833252,45259
20250829_145234,-0.3704863488674164,-0.8376581072807312,1.0127012729644775,45301
20250829_145234,-0.4323298931121826,-0.8306391835212708,1.032425880432129,45035
20250829_145234,-0.4696754515171051,-0.8699178099632263,1.0214135646820068,45201
20250829_145234,-0.49553102254867554,-0.8552284836769104,1.0164666175842285,44968
20250829_145234,-0.42909926176071167,-0.8285977840423584,1.0095938444137573,45116
20250829_145234,-0.733168363571167,-1.4337505102157593,1.0061581134796143,45720
20250829_145234,-0.3693091571331024,-0.7431933879852295,0.9929612278938293,45105
20250829_145234,-0.4193357527256012,-0.8607288599014282,0.99411940574646,45159
20250829_145234,-0.4888828694820404,-0.8189440965652466,1.0044522285461426,45298
20250829_145234,-0.4738929867744446,-0.8643022775650024,1.0056209564208984,45019
20250829_145234,-0.47389885783195496,-0.8568264245986938,1.0161930322647095,44993
20250829_145234,-0.4667607843875885,-0.8870037198066711,1.002023696899414,45028
20250829_145234,-0.43121814727783203,-0.8910341262817383,0.9928573966026306,45203
20250829_145234,-0.42961910367012024,-0.8564578890800476,0.9730721116065979,45217
20250829_145234,-0.44770050048828125,-0.8807904720306396,0.9806038737297058,45134
20250829_145234,-0.41704580187797546,-0.8651564717292786,0.9935235381126404,45143
20250829_145234,-0.48602214455604553,-0.8772762417793274,1.001918077468872,44936
20250829_145234,-0.46216607093811035,-0.8837136626243591,1.0099633932113647,45083
20250829_145234,-0.47539278864860535,-0.8888682126998901,1.0087237358093262,45037
20250829_145234,-0.4706154465675354,-0.9024659395217896,0.9782806038856506,45063
20250829_145234,-0.4629726707935333,-0.8884737491607666,0.9741432070732117,45134
20250829_145234,-0.46236923336982727,-0.9000098705291748,0.9709091782569885,45159
20250829_145234,-0.5128738284111023,-0.8869794011116028,0.9977945685386658,45166
20250829_145234,-0.5417040586471558,-0.9174714684486389,0.9831448793411255,44933
20250829_145234,-0.4890953302383423,-0.9258037805557251,0.9824046492576599,44810
20250829_145234,-0.5238924622535706,-0.8934012651443481,0.9639654755592346,45266
20250829_145234,-0.4597264528274536,-0.9110527038574219,0.9556834697723389,45043
20250829_145234,-0.4488474130630493,-0.9440041184425354,0.9492311477661133,44920
20250829_145234,-0.44012847542762756,-0.8918462991714478,0.9605786204338074,45157
20250829_145234,-0.4988458454608917,-0.9270021915435791,0.945935845375061,44951
20250829_145234,-0.5122154951095581,-0.9263961315155029,0.9365555644035339,45012
20250829_145234,-0.49586278200149536,-0.9246630072593689,0.9493035078048706,44893
20250829_145234,-0.4980330169200897,-0.9586307406425476,0.9500877261161804,45061
20250829_145234,-0.4820581078529358,-0.9374329447746277,0.9360777735710144,45057
20250829_145234,-0.4653417468070984,-0.9210197925567627,0.9207779765129089,45077
20250829_145234,-0.5145211815834045,-0.9161131978034973,0.9427768588066101,45182
20250829_145234,-0.5106921195983887,-0.9294818043708801,0.9467260837554932,44970
20250829_145234,-0.5138123631477356,-0.946195662021637,0.9366763830184937,44926
20250829_145234,-0.4667482078075409,-0.9624214172363281,0.9432613253593445,44866
20250829_145234,-0.5978620648384094,-0.9757751226425171,0.9078776836395264,44970
20250829_145234,-0.4834554195404053,-0.9515933394432068,0.9089246392250061,45041
20250829_145234,-0.43003660440444946,-0.9609087109565735,0.9308921694755554,45155
20250829_145234,-0.49452731013298035,-0.9510588645935059,0.9331867694854736,45065
20250829_145234,-0.543107807636261,-0.9776914119720459,0.918070912361145,44936
20250829_145234,-0.520672082901001,-0.9616878628730774,0.9196171164512634,44876
20250829_145234,-0.496448814868927,-0.9948919415473938,0.9178186058998108,45020
20250829_145234,-0.508188784122467,-0.9872921705245972,0.9284870624542236,44960
20250829_145234,-0.5068175792694092,-0.9713783264160156,0.9066871404647827,45079
20250829_145234,-0.5103006958961487,-0.9481651186943054,0.910190999507904,44946
20250829_145234,-0.4955328702926636,-0.9710721373558044,0.9113043546676636,45048
20250829_145234,-0.5684899091720581,-0.9779371619224548,0.9289160370826721,45015
20250829_145234,-0.49852144718170166,-1.0005685091018677,0.9239299893379211,44892
20250829_145234,-0.4553770422935486,-1.0271934270858765,0.9390908479690552,44777
20250829_145234,-0.524637758731842,-1.014843463897705,0.9436554312705994,45212
20250829_145234,-0.5329149961471558,-0.9750133156776428,0.9218323230743408,45084
20250829_145234,-0.5142306089401245,-1.0094337463378906,0.922518253326416,44979
20250829_145234,-0.528059720993042,-1.0044864416122437,0.9171683192253113,44893
20250829_145234,-0.5235335230827332,-1.0082470178604126,0.908623993396759,44952
20250829_145234,-0.5132261514663696,-1.0193219184875488,0.9211222529411316,44944
20250829_145234,-0.4902108907699585,-1.013124704360962,0.9312218427658081,44974
